# _tick,_time,frames,mean_episode_return_0,loss_0
5167,1718030126.0231109,5425350,-0.06496447324752808,0.7197997570037842
5168,1718030126.4945078,5426400,-0.06581410765647888,0.722309947013855
5169,1718030126.9987419,5427450,-0.06620072573423386,0.7380730509757996
5170,1718030127.468558,5428500,-0.06538351625204086,0.7341151833534241
5171,1718030127.9587357,5429550,-0.06609241664409637,0.7292343378067017
5172,1718030128.4392316,5430600,-0.06636001169681549,0.6886736154556274
5173,1718030128.919145,5431650,-0.06643439829349518,0.7083542943000793
5174,1718030129.398816,5432700,-0.06623584032058716,0.7071343660354614
5175,1718030129.8955166,5433750,-0.0659659206867218,0.6895420551300049
5176,1718030130.3857486,5434800,-0.06626523286104202,0.6866196990013123
5177,1718030130.8552651,5435850,-0.0660310685634613,0.7040737271308899
5178,1718030131.328325,5436900,-0.06671100854873657,0.7556117177009583
5179,1718030131.8151038,5437950,-0.06566722691059113,0.7573519945144653
5180,1718030132.2943451,5439000,-0.06652165204286575,0.7201496958732605
5181,1718030132.7611833,5440050,-0.06574290245771408,0.7549898624420166
5182,1718030133.227585,5441100,-0.0664813444018364,0.7242359519004822
5183,1718030133.6945086,5442150,-0.06668837368488312,0.7105391621589661
5184,1718030134.161095,5443200,-0.06708875298500061,0.6949474811553955
5185,1718030134.644292,5444250,-0.06742718815803528,0.7093673944473267
5186,1718030135.111213,5445300,-0.06655139476060867,0.7254758477210999
5187,1718030135.5797575,5446350,-0.06622365117073059,0.7451287508010864
5188,1718030136.060895,5447400,-0.06652954965829849,0.7225041389465332
5189,1718030136.5277336,5448450,-0.06591255217790604,0.7065773606300354
5190,1718030136.9945185,5449500,-0.06528912484645844,0.7003815770149231
5191,1718030137.4801874,5450550,-0.06478684395551682,0.7195018529891968
5192,1718030137.9610965,5451600,-0.06571126729249954,0.7132619023323059
5193,1718030138.427688,5452650,-0.06612803786993027,0.7104642391204834
5194,1718030138.9110987,5453700,-0.06581031531095505,0.7043052911758423
5195,1718030139.3943799,5454750,-0.06672042608261108,0.7095730900764465
5196,1718030139.8609626,5455800,-0.06755471229553223,0.7971029877662659
5197,1718030140.344462,5456850,-0.06842739880084991,0.7125073075294495
5198,1718030140.8275485,5457900,-0.06892047077417374,0.7195103764533997
5199,1718030141.36093,5458950,-0.06818097084760666,0.788714587688446
5200,1718030141.8437426,5460000,-0.06754951924085617,0.7048106789588928
5201,1718030142.3110218,5461050,-0.06707317382097244,0.6946672797203064
5202,1718030142.7827249,5462100,-0.06703431159257889,0.6824015378952026
